id_nf,data_venda,cliente_id,cliente_nome,marca_carro,modelo_carro,produto_peca,valor_unitario,quantidade,custo_unitario,loja_id,loja_nome,grupo_loja,vendedor_id,vendedor_nome
NF150000,2025-08-19,08301661318,Sansa Stark,MotoriX,BZ Turbo,Bateria,636.99,2.0,462.67,100202,Auto Parts SP Centro,Grupo Tytan,V006,Steve Rogers
NF150001,2024-04-09,97543231948757,Robb Stark,Autron,AX1,Bateria,282.6,3.0,220.23,200302,Auto Rio Peças,Grupo Atlantico,V006,Steve Rogers
NF150002,2024-12-14,59797114710,Jorah Mormont,Carvex,BZ Turbo,Pastilha de Freio,799.17,3.0,518.37,100202,Auto Parts SP Centro,Grupo Tytan,V006,Steve Rogers
NF150003,2025-07-17,46563212233,Samwell Tarly,Ravion,EX Classic,Filtro de Óleo,764.38,4.0,478.34,200301,AutoParts Rio de Janeiro,Grupo Atlântic,V007,Natasha Romanoff
NF150004,2025-10-11,10928159013962,Bran Stark,Ravion,CX Sport,Correia Dentada,865.43,6.0,740.22,100202,Auto Parts SP Centro,Grupo Tytan,V008,Barry Allen
NF150005,2024-04-14,54728038528,Robb Stark,Velox,BZ Turbo,Correia Dentada,291.29,4.0,267.34,100202,Auto Parts SP Centro,Grupo Tytan,V003,Tony Stark
NF150006,2025-04-28,73537990751163,Davos Seaworth,Velox,DX Hybrid,Amortecedor,1352.58,2.0,898.08,100201,AutoParts São Paulo,Grupo Titan,V005,Diana Prince
NF150007,2024-05-10,02972997528,Jorah Mormont,Ravion,CX Sport,Amortecedor,229.21,6.0,166.56,200301,AutoParts Rio de Janeiro,Grupo Atlântic,V003,Tony Stark
NF150008,2025-06-28,28807290222,Sansa Stark,Autron,AX1,Bateria,1016.29,2.0,629.58,400501,AutoParts Sul,Grupo Pampa,V003,Tony Stark
NF150009,2025-04-08,88783848372,Sansa Stark,Velox,DX Hybrid,Pastilha de Freio,857.74,1.0,723.24,200302,Auto Rio Peças,Grupo Atlantico,V005,Diana Prince
NF150010,2025-12-24,68656355150,Daenerys Targaryen,Carvex,CX Sport,Filtro de Óleo,1364.29,1.0,992.44,200302,Auto Rio Peças,Grupo Atlantico,V003,Tony Stark
NF150011,2024-06-01,40141931417058,Davos Seaworth,Carvex,EX Classic,Pastilha de Freio,1638.15,2.0,1124.66,300401,AutoParts Minas,Grupo Serra,V007,Natasha Romanoff
